Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,District,Ward,County Electoral Division
BS1 1EG,No,51.454456,-2.597216,358600,173000,ST585729,1/1/1980 12:00:00 AM,12/1/1984 12:00:00 AM,22,,,Bristol Temple Meads,1.2,Bristol,"Bristol, City of",Central,
BS1 1EH,Yes,51.453541,-2.594930,358758,172897,ST587728,1/1/1980 12:00:00 AM,,21,,,Bristol Temple Meads,1.1,Bristol,"Bristol, City of",Central,
BS1 1EJ,No,51.454456,-2.597216,358600,173000,ST585729,1/1/1980 12:00:00 AM,12/1/1981 12:00:00 AM,22,,,Bristol Temple Meads,1.2,Bristol,"Bristol, City of",Central,
BS1 1EL,Yes,51.454418,-2.595805,358698,172995,ST586729,1/1/1980 12:00:00 AM,,21,21,16,Bristol Temple Meads,1.2,Bristol,"Bristol, City of",Central,
BS1 1EN,No,51.454551,-2.596051,358681,173010,ST586730,1/1/1980 12:00:00 AM,2/1/2019 12:00:00 AM,21,,,Bristol Temple Meads,1.2,Bristol,"Bristol, City of",Central,
BS1 1EP,No,51.454456,-2.597216,358600,173000,ST585729,7/1/1983 12:00:00 AM,5/1/1994 12:00:00 AM,22,,,Bristol Temple Meads,1.2,Bristol,"Bristol, City of",Central,
BS1 1EQ,Yes,51.454258,-2.595400,358726,172977,ST587729,1/1/1980 12:00:00 AM,,22,37,0,Bristol Temple Meads,1.1,Bristol,"Bristol, City of",Central,
BS1 1EW,No,51.453564,-2.595765,358700,172900,ST586728,3/1/1983 12:00:00 AM,5/1/1994 12:00:00 AM,20,,,Bristol Temple Meads,1.1,Bristol,"Bristol, City of",Central,
BS1 1GB,No,51.453325,-2.593186,358879,172872,ST588728,12/1/1996 12:00:00 AM,4/1/2023 12:00:00 AM,18,,,Bristol Temple Meads,0.9,Bristol,"Bristol, City of",Central,
BS1 1HA,No,51.452672,-2.594314,358800,172800,ST587727,1/1/1980 12:00:00 AM,1/1/1995 12:00:00 AM,20,,,Bristol Temple Meads,1.0,Bristol,"Bristol, City of",Central,
BS1 1HG,No,51.452672,-2.594314,358800,172800,ST587727,1/1/1980 12:00:00 AM,12/1/1985 12:00:00 AM,20,,,Bristol Temple Meads,1.0,Bristol,"Bristol, City of",Central,
BS1 1HH,No,51.452672,-2.594314,358800,172800,ST587727,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,20,,,Bristol Temple Meads,1.0,Bristol,"Bristol, City of",Central,
BS1 1HJ,No,51.454614,-2.594382,358797,173016,ST587730,2/1/1990 12:00:00 AM,11/1/2003 12:00:00 AM,24,,,Bristol Temple Meads,1.1,Bristol,"Bristol, City of",Central,
BS1 1HL,No,51.453571,-2.594326,358800,172900,ST587728,1/1/1980 12:00:00 AM,12/1/1981 12:00:00 AM,21,,,Bristol Temple Meads,1.0,Bristol,"Bristol, City of",Central,
BS1 1HN,No,51.452672,-2.594314,358800,172800,ST587727,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,20,,,Bristol Temple Meads,1.0,Bristol,"Bristol, City of",Central,
BS1 1HP,No,51.452672,-2.594314,358800,172800,ST587727,1/1/1980 12:00:00 AM,12/1/1986 12:00:00 AM,20,,,Bristol Temple Meads,1.0,Bristol,"Bristol, City of",Central,
BS1 1HQ,Yes,51.454319,-2.593990,358824,172983,ST588729,1/1/1980 12:00:00 AM,,24,37,21,Bristol Temple Meads,1.0,Bristol,"Bristol, City of",Central,
BS1 1HR,No,51.453564,-2.595765,358700,172900,ST586728,1/1/1980 12:00:00 AM,12/1/1981 12:00:00 AM,20,,,Bristol Temple Meads,1.1,Bristol,"Bristol, City of",Central,
BS1 1HS,No,51.454423,-2.594697,358775,172995,ST587729,6/1/2003 12:00:00 AM,9/1/2013 12:00:00 AM,23,,,Bristol Temple Meads,1.1,Bristol,"Bristol, City of",Central,
BS1 1HT,Yes,51.454487,-2.594510,358788,173002,ST587730,1/1/1980 12:00:00 AM,,23,29,10,Bristol Temple Meads,1.1,Bristol,"Bristol, City of",Central,
BS1 1HU,No,51.452672,-2.594314,358800,172800,ST587727,1/1/1980 12:00:00 AM,12/1/1986 12:00:00 AM,20,,,Bristol Temple Meads,1.0,Bristol,"Bristol, City of",Central,
BS1 1HW,Yes,51.453960,-2.593798,358837,172943,ST588729,10/1/1984 12:00:00 AM,,22,,,Bristol Temple Meads,1.0,Bristol,"Bristol, City of",Central,
BS1 1HX,No,51.452672,-2.594314,358800,172800,ST587727,1/1/1980 12:00:00 AM,12/1/1983 12:00:00 AM,20,,,Bristol Temple Meads,1.0,Bristol,"Bristol, City of",Central,
BS1 1HZ,No,51.453564,-2.595765,358700,172900,ST586728,1/1/1980 12:00:00 AM,12/1/1988 12:00:00 AM,20,,,Bristol Temple Meads,1.1,Bristol,"Bristol, City of",Central,
BS1 1JD,No,51.453571,-2.594326,358800,172900,ST587728,1/1/1980 12:00:00 AM,12/1/1981 12:00:00 AM,21,,,Bristol Temple Meads,1.0,Bristol,"Bristol, City of",Central,
BS1 1JG,Yes,51.454827,-2.593076,358888,173039,ST588730,10/1/1984 12:00:00 AM,,25,,,Bristol Temple Meads,1.0,Bristol,"Bristol, City of",Central,
BS1 1JH,Yes,51.454512,-2.593143,358883,173004,ST588730,1/1/1980 12:00:00 AM,,24,4,2,Bristol Temple Meads,1.0,Bristol,"Bristol, City of",Central,
BS1 1JL,Yes,51.453809,-2.595336,358730,172927,ST587729,7/1/2011 12:00:00 AM,,21,,,Bristol Temple Meads,1.1,Bristol,"Bristol, City of",Central,
BS1 1JN,Yes,51.454540,-2.593057,358889,173007,ST588730,1/1/1980 12:00:00 AM,,24,7,4,Bristol Temple Meads,1.0,Bristol,"Bristol, City of",Central,
BS1 1JP,No,51.454187,-2.593499,358858,172968,ST588729,1/1/2004 12:00:00 AM,1/1/2004 12:00:00 AM,23,,,Bristol Temple Meads,1.0,Bristol,"Bristol, City of",Central,
BS1 1JQ,Yes,51.454402,-2.593531,358856,172992,ST588729,1/1/1980 12:00:00 AM,,25,,,Bristol Temple Meads,1.0,Bristol,"Bristol, City of",Central,
BS1 1JR,Yes,51.453737,-2.595249,358736,172919,ST587729,1/1/1980 12:00:00 AM,,21,25,17,Bristol Temple Meads,1.1,Bristol,"Bristol, City of",Central,
BS1 1JS,Yes,51.453693,-2.595205,358739,172914,ST587729,12/1/2013 12:00:00 AM,,21,,,Bristol Temple Meads,1.1,Bristol,"Bristol, City of",Central,
BS1 1JW,Yes,51.453980,-2.593468,358860,172945,ST588729,1/1/1980 12:00:00 AM,,22,,,Bristol Temple Meads,1.0,Bristol,"Bristol, City of",Central,
BS1 1JX,Yes,51.453695,-2.594702,358774,172914,ST587729,1/1/1980 12:00:00 AM,,22,,,Bristol Temple Meads,1.1,Bristol,"Bristol, City of",Central,
BS1 1JY,No,51.454087,-2.595527,358717,172958,ST587729,12/1/1997 12:00:00 AM,11/1/2006 12:00:00 AM,21,,,Bristol Temple Meads,1.1,Bristol,"Bristol, City of",Central,
BS1 1LA,Yes,51.454134,-2.593340,358869,172962,ST588729,12/1/1997 12:00:00 AM,,23,,,Bristol Temple Meads,1.0,Bristol,"Bristol, City of",Central,
BS1 1LD,No,51.453564,-2.595765,358700,172900,ST586728,1/1/1980 12:00:00 AM,12/1/1988 12:00:00 AM,20,,,Bristol Temple Meads,1.1,Bristol,"Bristol, City of",Central,
BS1 1LE,No,51.453564,-2.595765,358700,172900,ST586728,1/1/1980 12:00:00 AM,1/1/1995 12:00:00 AM,20,,,Bristol Temple Meads,1.1,Bristol,"Bristol, City of",Central,
BS1 1LG,No,51.452672,-2.594314,358800,172800,ST587727,1/1/1980 12:00:00 AM,12/1/1981 12:00:00 AM,20,,,Bristol Temple Meads,1.0,Bristol,"Bristol, City of",Central,
BS1 1LH,No,51.453736,-2.593680,358845,172918,ST588729,1/1/1980 12:00:00 AM,6/1/2000 12:00:00 AM,21,,,Bristol Temple Meads,1.0,Bristol,"Bristol, City of",Central,
BS1 1LJ,Yes,51.454099,-2.593109,358885,172958,ST588729,1/1/1980 12:00:00 AM,,22,,,Bristol Temple Meads,1.0,Bristol,"Bristol, City of",Central,
BS1 1LS,No,51.453571,-2.594326,358800,172900,ST587728,1/1/1980 12:00:00 AM,12/1/1981 12:00:00 AM,21,,,Bristol Temple Meads,1.0,Bristol,"Bristol, City of",Central,
BS1 1LT,Yes,51.453541,-2.594930,358758,172897,ST587728,1/1/1980 12:00:00 AM,,22,,,Bristol Temple Meads,1.1,Bristol,"Bristol, City of",Central,
BS1 1LU,No,51.452665,-2.595753,358700,172800,ST586727,1/1/1980 12:00:00 AM,6/1/1997 12:00:00 AM,17,,,Bristol Temple Meads,1.1,Bristol,"Bristol, City of",Central,
BS1 1LX,No,51.452665,-2.595753,358700,172800,ST586727,3/1/1983 12:00:00 AM,12/1/1986 12:00:00 AM,17,,,Bristol Temple Meads,1.1,Bristol,"Bristol, City of",Central,
BS1 1LY,No,51.453571,-2.594326,358800,172900,ST587728,1/1/1980 12:00:00 AM,12/1/1981 12:00:00 AM,21,,,Bristol Temple Meads,1.0,Bristol,"Bristol, City of",Central,
BS1 1LZ,No,51.452665,-2.595753,358700,172800,ST586727,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,17,,,Bristol Temple Meads,1.1,Bristol,"Bristol, City of",Central,
BS1 1NA,Yes,51.453546,-2.595635,358709,172898,ST587728,1/1/1980 12:00:00 AM,,19,,,Bristol Temple Meads,1.1,Bristol,"Bristol, City of",Central,
BS1 1NB,No,51.452672,-2.594314,358800,172800,ST587727,1/1/1980 12:00:00 AM,1/1/1995 12:00:00 AM,20,,,Bristol Temple Meads,1.0,Bristol,"Bristol, City of",Central,
BS1 1ND,No,51.452657,-2.597192,358600,172800,ST585727,1/1/1980 12:00:00 AM,1/1/1995 12:00:00 AM,14,,,Bristol Temple Meads,1.2,Bristol,"Bristol, City of",Central,
BS1 1NE,No,51.452665,-2.595753,358700,172800,ST586727,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,17,,,Bristol Temple Meads,1.1,Bristol,"Bristol, City of",Central,
BS1 1NF,No,51.453539,-2.595405,358725,172897,ST587728,1/1/1980 12:00:00 AM,1/1/2002 12:00:00 AM,21,,,Bristol Temple Meads,1.1,Bristol,"Bristol, City of",Central,
BS1 1NG,Yes,51.453200,-2.594796,358767,172859,ST587728,8/1/2018 12:00:00 AM,,21,1,1,Bristol Temple Meads,1.0,Bristol,"Bristol, City of",Central,
BS1 1NJ,No,51.453564,-2.595765,358700,172900,ST586728,1/1/1980 12:00:00 AM,12/1/1981 12:00:00 AM,20,,,Bristol Temple Meads,1.1,Bristol,"Bristol, City of",Central,
BS1 1NN,No,51.452665,-2.595753,358700,172800,ST586727,1/1/1980 12:00:00 AM,12/1/1983 12:00:00 AM,17,,,Bristol Temple Meads,1.1,Bristol,"Bristol, City of",Central,
BS1 1NP,No,51.452672,-2.594314,358800,172800,ST587727,7/1/1983 12:00:00 AM,12/1/1988 12:00:00 AM,20,,,Bristol Temple Meads,1.0,Bristol,"Bristol, City of",Central,
BS1 1NQ,No,51.452657,-2.597192,358600,172800,ST585727,1/1/1980 12:00:00 AM,12/1/1981 12:00:00 AM,14,,,Bristol Temple Meads,1.2,Bristol,"Bristol, City of",Central,
BS1 1NR,Yes,51.453211,-2.594379,358796,172860,ST587728,1/1/1980 12:00:00 AM,,21,68,37,Bristol Temple Meads,1.0,Bristol,"Bristol, City of",Central,
BS1 1NS,Yes,51.453272,-2.596610,358641,172868,ST586728,11/1/2021 12:00:00 AM,,9,,,Bristol Temple Meads,1.2,Bristol,"Bristol, City of",Central,
BS1 1NU,No,51.452665,-2.595753,358700,172800,ST586727,1/1/1980 12:00:00 AM,12/1/1990 12:00:00 AM,17,,,Bristol Temple Meads,1.1,Bristol,"Bristol, City of",Central,
BS1 1PA,No,51.453571,-2.594326,358800,172900,ST587728,1/1/1980 12:00:00 AM,12/1/1981 12:00:00 AM,21,,,Bristol Temple Meads,1.0,Bristol,"Bristol, City of",Central,
BS1 1PF,No,51.452672,-2.594314,358800,172800,ST587727,1/1/1980 12:00:00 AM,12/1/1988 12:00:00 AM,20,,,Bristol Temple Meads,1.0,Bristol,"Bristol, City of",Central,
BS1 1PH,No,51.453209,-2.594897,358760,172860,ST587728,10/1/1984 12:00:00 AM,12/1/1996 12:00:00 AM,21,,,Bristol Temple Meads,1.0,Bristol,"Bristol, City of",Central,
BS1 1PJ,No,51.452672,-2.594314,358800,172800,ST587727,1/1/1980 12:00:00 AM,12/1/1982 12:00:00 AM,20,,,Bristol Temple Meads,1.0,Bristol,"Bristol, City of",Central,
BS1 1PL,No,51.452672,-2.594314,358800,172800,ST587727,3/1/1983 12:00:00 AM,1/1/1995 12:00:00 AM,20,,,Bristol Temple Meads,1.0,Bristol,"Bristol, City of",Central,
BS1 1PN,Yes,51.453249,-2.593919,358828,172864,ST588728,1/1/1980 12:00:00 AM,,20,,,Bristol Temple Meads,1.0,Bristol,"Bristol, City of",Central,
BS1 1PP,No,51.452672,-2.594314,358800,172800,ST587727,1/1/1980 12:00:00 AM,12/1/1981 12:00:00 AM,20,,,Bristol Temple Meads,1.0,Bristol,"Bristol, City of",Central,
BS1 1PR,No,51.452672,-2.594314,358800,172800,ST587727,1/1/1980 12:00:00 AM,12/1/1983 12:00:00 AM,20,,,Bristol Temple Meads,1.0,Bristol,"Bristol, City of",Central,
BS1 1PS,No,51.452672,-2.594314,358800,172800,ST587727,1/1/1980 12:00:00 AM,12/1/1981 12:00:00 AM,20,,,Bristol Temple Meads,1.0,Bristol,"Bristol, City of",Central,
BS1 1PU,No,51.453240,-2.593933,358827,172863,ST588728,1/1/1980 12:00:00 AM,6/1/1998 12:00:00 AM,20,,,Bristol Temple Meads,1.0,Bristol,"Bristol, City of",Central,
BS1 1PW,No,51.452672,-2.594314,358800,172800,ST587727,1/1/1980 12:00:00 AM,12/1/1985 12:00:00 AM,20,,,Bristol Temple Meads,1.0,Bristol,"Bristol, City of",Central,
BS1 1PX,No,51.452672,-2.594314,358800,172800,ST587727,1/1/1980 12:00:00 AM,12/1/1990 12:00:00 AM,20,,,Bristol Temple Meads,1.0,Bristol,"Bristol, City of",Central,
BS1 1QB,Yes,51.453298,-2.593228,358876,172869,ST588728,1/1/1980 12:00:00 AM,,18,,,Bristol Temple Meads,0.9,Bristol,"Bristol, City of",Central,
BS1 1QD,No,51.453325,-2.593186,358879,172872,ST588728,2/1/1990 12:00:00 AM,8/1/2009 12:00:00 AM,18,,,Bristol Temple Meads,0.9,Bristol,"Bristol, City of",Central,
BS1 1QE,No,51.452672,-2.594314,358800,172800,ST587727,1/1/1980 12:00:00 AM,12/1/1981 12:00:00 AM,20,,,Bristol Temple Meads,1.0,Bristol,"Bristol, City of",Central,
BS1 1QJ,No,51.452672,-2.594314,358800,172800,ST587727,6/1/1981 12:00:00 AM,12/1/1984 12:00:00 AM,20,,,Bristol Temple Meads,1.0,Bristol,"Bristol, City of",Central,
BS1 1QL,No,51.452672,-2.594314,358800,172800,ST587727,1/1/1980 12:00:00 AM,12/1/1981 12:00:00 AM,20,,,Bristol Temple Meads,1.0,Bristol,"Bristol, City of",Central,
BS1 1QN,No,51.452672,-2.594314,358800,172800,ST587727,1/1/1980 12:00:00 AM,12/1/1984 12:00:00 AM,20,,,Bristol Temple Meads,1.0,Bristol,"Bristol, City of",Central,
BS1 1QP,Yes,51.453498,-2.592842,358903,172891,ST589728,1/1/1980 12:00:00 AM,,18,,,Bristol Temple Meads,0.9,Bristol,"Bristol, City of",Central,
BS1 1QQ,No,51.453325,-2.593186,358879,172872,ST588728,1/1/1980 12:00:00 AM,4/1/2023 12:00:00 AM,18,,,Bristol Temple Meads,0.9,Bristol,"Bristol, City of",Central,
BS1 1QR,No,51.453534,-2.592713,358912,172895,ST589728,6/1/1981 12:00:00 AM,11/1/2002 12:00:00 AM,18,,,Bristol Temple Meads,0.9,Bristol,"Bristol, City of",Central,
BS1 1QS,No,51.452672,-2.594314,358800,172800,ST587727,1/1/1980 12:00:00 AM,12/1/1981 12:00:00 AM,20,,,Bristol Temple Meads,1.0,Bristol,"Bristol, City of",Central,
BS1 1QW,Yes,51.453534,-2.592713,358912,172895,ST589728,1/1/1980 12:00:00 AM,,18,42,13,Bristol Temple Meads,0.9,Bristol,"Bristol, City of",Central,
BS1 1QZ,Yes,51.453777,-2.592832,358904,172922,ST589729,1/1/1980 12:00:00 AM,,19,10,5,Bristol Temple Meads,0.9,Bristol,"Bristol, City of",Central,
BS1 1RA,Yes,51.453656,-2.593622,358849,172909,ST588729,1/1/1980 12:00:00 AM,,21,,,Bristol Temple Meads,1.0,Bristol,"Bristol, City of",Central,
BS1 1RB,Yes,51.453590,-2.594125,358814,172902,ST588729,1/1/1980 12:00:00 AM,,21,,,Bristol Temple Meads,1.0,Bristol,"Bristol, City of",Central,
BS1 1RD,No,51.452665,-2.595753,358700,172800,ST586727,1/1/1980 12:00:00 AM,1/1/1995 12:00:00 AM,17,,,Bristol Temple Meads,1.1,Bristol,"Bristol, City of",Central,
